day,real_deaths,S_seitd,E,I,T,D_seitd,S_seeiitd,E1,E2,I1,I2,T1,T2,D_seeiitd
2020-02-25,0,210147000,199.92000000000002,47.86095,0.0830311,0.00180685,210147000,240.3795,118.473,27.7466,5.729715000000001,0.009809285000000001,2.531815e-4,5.4510299999999995e-6
2020-02-26,0,210147000,357.00300000000004,120.251,0.35418649999999996,0.0142072,210146000,390.08799999999997,264.12250000000006,93.1546,31.894,0.108544,0.0056364150000000005,2.523215e-4
2020-02-27,0,210146000,483.9095,203.149,0.8555335,0.05059034999999999,210146000,487.9855,403.665,179.6705,82.98920000000001,0.4265835,0.0330617,0.0022545
2020-02-28,0,210146000,589.3745,288.3365,1.5917350000000001,0.12523099999999998,210145000,556.6690000000001,520.038,271.6215,152.7215,1.0664150000000001,0.11130999999999999,0.0103579
2020-02-29,0,210146000,684.652,373.8945,2.544845,0.25241749999999996,210145000,615.5065,623.444,359.82950000000005,232.577,2.0721000000000003,0.275042,0.03284905
2020-03-01,0,210145000,770.3485000000001,455.736,3.7044750000000004,0.444499,210145000,675.217,712.8679999999999,442.4045,315.101,3.44111,0.5580495000000001,0.08200279999999999
2020-03-02,0,210145000,852.7139999999999,533.8415,5.05701,0.7153430000000001,210144000,737.1975,797.7764999999999,517.107,395.8355,5.118600000000001,0.9855685,0.1738425
2020-03-03,0,210145000,939.7565,611.6185,6.566855,1.0754350000000001,210143000,810.706,886.962,588.5425,472.38,7.07,1.576905,0.327418
2020-03-04,0,210144000,1033.35,689.223,8.251265,1.5371100000000002,210143000,897.683,984.783,663.0215000000001,547.3969999999999,9.261680000000002,2.332045,0.561858
2020-03-05,0,210144000,1137.26,770.725,10.07065,2.1069750000000003,210142000,1009.335,1099.67,743.0575000000001,622.268,11.6491,3.26222,0.9013009999999999
2020-03-06,0,210144000,1262.415,861.0835,12.05585,2.7896400000000003,210141000,1145.1200000000001,1240.025,831.8895,703.5640000000001,14.187850000000001,4.374930000000001,1.3634000000000002
2020-03-07,0,210143000,1414.9050000000002,963.336,14.2147,3.60645,210140000,1316.995,1403.3400000000001,938.2815,790.437,16.923650000000002,5.672485,1.9745000000000001
2020-03-08,0,210142000,1590.94,1077.635,16.593700000000002,4.560155,210139000,1519.78,1609.915,1068.68,894.364,19.91485,7.150080000000001,2.751505
2020-03-09,0,210142000,1820.525,1215.8899999999999,19.25495,5.664085,210138000,1797.335,1869.01,1227.5749999999998,1018.05,23.253950000000003,8.79842,3.7190700000000003
2020-03-10,0,210141000,2094.24,1377.835,22.248150000000003,6.94745,210136000,2132.115,2188.02,1423.6100000000001,1167.095,27.001800000000003,10.65185,4.9048300000000005
2020-03-11,0,210140000,2435.1000000000004,1578.7350000000001,25.63565,8.427710000000001,210134000,2561.885,2602.725,1665.63,1350.0149999999999,31.2571,12.780350000000002,6.333400000000001
2020-03-12,0,210138000,2863.495,1828.335,29.4968,10.1338,210131000,3073.13,3113.1549999999997,1963.565,1578.505,36.189099999999996,15.1917,8.034170000000001
2020-03-13,0,210137000,3394.59,2136.84,34.01965,12.09295,210128000,3693.34,3704.44,2325.605,1850.54,42.02475,17.933500000000002,10.036650000000002
2020-03-14,0,210135000,4054.2400000000002,2511.2349999999997,39.354,14.3582,210125000,4459.535,4457.35,2768.39,2187.675,49.03530000000001,21.12295,12.400450000000001
2020-03-15,0,210133000,4873.585,2985.51,45.7809,17.006149999999998,210121000,5366.2300000000005,5364.175,3328.385,2603.61,57.5369,24.80825,15.19605
2020-03-16,0,210130000,5881.9349999999995,3574.985,53.5185,20.057299999999998,210115000,6512.055,6499.4349999999995,4017.545,3124.3550000000005,67.9372,29.1901,18.49705
2020-03-17,1,210127000,7148.07,4305.8550000000005,62.881150000000005,23.631050000000002,210109000,7918.5,7858.275,4836.81,3754.8450000000003,80.26670000000001,34.384150000000005,22.3681
2020-03-18,3,210123000,8680.61,5197.1900000000005,74.28915,27.86665,210101000,9488.975,9489.990000000002,5859.855,4524.37,95.39105,40.521550000000005,26.9064
2020-03-19,7,210118000,10547.550000000001,6280.9000000000005,88.20555000000002,32.8584,210092000,11387.150000000001,11399.7,7053.43,5458.735000000001,113.717,47.859750000000005,32.2336
2020-03-20,11,210112000,12788.800000000001,7590.485000000001,104.9845,38.83255,210081000,13448.25,13610.95,8453.815,6574.025,136.0655,56.62195,38.53365
2020-03-21,18,210105000,15403.85,9179.82,125.44800000000001,45.91415000000001,210069000,15806.550000000001,16111.25,10092.45,7888.895,162.9385,67.0429,46.061
2020-03-22,25,210097000,18526.1,11057.95,150.1945,54.3774,210054000,18297.7,18855.300000000003,11938.400000000001,9409.78,194.9315,79.73555,54.90950000000001
2020-03-23,34,210087000,22166.15,13291.150000000001,179.7795,64.60669999999999,210038000,21105.4,21884.25,14013.300000000001,11128.95,232.84,95.0232,65.4769
2020-03-24,47,210075000,26349.100000000002,15882.600000000002,215.519,76.91730000000001,210020000,23927,25193.95,16245.150000000001,13107.05,277.7075,113.29249999999999,78.06880000000001
2020-03-25,59,210062000,31116.15,18905.5,257.829,91.42160000000001,210001000,26717.850000000002,28564.7,18659.65,15192.300000000001,329.3195,135.0595,93.07730000000001
2020-03-26,77,210047000,36343.95,22320.15,308.1275,108.855,209980000,29259.600000000002,31866.4,21217.9,17491.9,387.866,160.52300000000002,110.9675
2020-03-27,93,210029000,42033.9,26209.45,367.01800000000003,129.7645,209957000,31652.15,35110.600000000006,23732.850000000002,19912.1,453.353,190.48000000000002,132.2285
2020-03-28,115,210010000,47882.950000000004,30375.4,435.50350000000003,154.60199999999998,209933000,33881.05,38171.850000000006,26174.5,22375.7,524.6469999999999,224.882,157.35
2020-03-29,139,209988000,53918.15000000001,34870.850000000006,512.941,183.827,209908000,35817.100000000006,40948.15,28563.850000000002,24825.95,602.8340000000001,263.3695,186.86700000000002
2020-03-30,166,209965000,60054.350000000006,39658.3,600.232,218.17200000000003,209882000,37616.65,43530.700000000004,30876.350000000002,27199.9,686.677,307.3985,221.6095
2020-03-31,202,209940000,65908.75,44522.55,697.7655,258.077,209856000,39245.3,45924.200000000004,33025.2,29495.9,774.4795,355.9945,262.023
2020-04-01,244,209915000,71500.25,49267.8,804.552,304.2765,209828000,40691.350000000006,48179,34946.95,31726.550000000003,865.52,408.8355,308.7845
2020-04-02,305,209888000,76585.55,54016.65,920.3990000000001,357.336,209800000,42271.55,50208.25,36766,33748.950000000004,958.366,466.91150000000005,361.99850000000004
2020-04-03,365,209860000,81449.85,58558.8,1042.81,417.697,209771000,43594.15000000001,52188.200000000004,38468.05,35638.95,1051.41,528.5944999999999,422.52
