index,id,created_at,text,user,place,user_place,country,coordinates,undefined_col,undefined_col2,undefined_col3
2010393,1343560127421566977,2020-12-28T14:11:11Z,"@xicograziano Talvez um ortopedista seja uma boa opção.
Afinal, cotovelos doloridos incomodam e tiram o sono de qualquer um. 
Corvos tem cotovelos?",708088937638662144,NA,"Brasília, Roma, Vitória-ES",NA,NA,NA,0,0
133831,1276899331023536128,2020-06-27T15:24:58Z,Se pagando de fodão Pqe tá com os amiguin?,536725051,"Itanhangá, Brasil",Itanhangá- Brazil,BR,"[[[-57.144926, -12.374918], [-57.144926, -11.913106], [-56.364543, -11.913106], [-56.364543, -12.374918]]]",NA,1,0
1691341,1331091294698033157,2020-11-24T04:24:29Z,"@bbbpolemiica Amigaa kkkkk... são dois atores de uma série q eu gosto e eles namoram na vida real kKkkkkkk
Tô pegando nem gripe quanto mais esse aí",1237176023265017856,NA,sei lá,NA,NA,NA,0,0
1874663,1338585891217027074,2020-12-14T20:45:20Z,"#FuracãoNaBandaB FLU 0x0 CAP - 1ºT/44' - AMARELOU
Leonardo Estigarribia faz falta e leva cartão",54297282,NA,Curitiba,NA,NA,NA,0,0
496119,1283165951064788992,2020-07-14T22:26:17Z,"Máscara enfiada na cara por mais de 5 horas e ainda me dizem que têm dificuldade em respirar por usar uma máscara durante 20 minutos, chatos de merda",729321653814054912,NA,Casa dos sete anões ,NA,NA,NA,1,0
401662,1281227049286406145,2020-07-09T14:01:47Z,@ORafinha01 @LuckCsta @Rodbruno_Fla @venecasagrande Tá negando que é torcedor do flu kkkkkk eu tb teria vergonha,1266447340333862916,NA,sc,NA,NA,NA,1,0
581531,1285591818202222593,2020-07-21T15:05:49Z,tosse desgraçada mas pelo menos não é corona,1210399383566635008,NA,NA,NA,NA,NA,1,0
1227486,1311321577192132609,2020-09-30T15:06:41Z,hora de forçar uma tosse 🤠,1281438505294606337,NA,"São Paulo, Brasil",NA,NA,NA,0,0
880212,1297610997830754306,2020-08-23T19:05:44Z,"@malikexile amg fiquei fazendo trabalho durante a madrugada e peguei resfriado, vou tomar remédio e deitar um pouco",1270202479565832192,NA,Forks,NA,NA,NA,0,0
941376,1300487123590615041,2020-08-31T17:34:26Z,"Tomei a vacina pra gripe hoje num posto drive-thru. Foi pah pum, rapidão e free. Certamente não morrerei de uma pneumonia viral quando entrar no internato (pelo menos não por Influenza)",94179834,NA,"Teresina, Brasil",NA,NA,NA,0,0
401120,1281220317424300036,2020-07-09T13:35:02Z,"@TozzaFla eu tb não fiquei com a impressão de q o Flu ofereceu gdes empecilhos não. Fi bem diferente da marcação pressão q o River impôs. Acho q o Fla é q não jogou nada, e o Flu teve méritos de saber se defender (nas poucas chances criadas), fazer o seu, e bater os pênaltis.",21161325,NA,"ÜT: -22.8814031,-43.0936231",NA,NA,NA,1,0
1492657,1322740302713626624,2020-11-01T03:20:38Z,"Essa tosse ta matando, tnc.",3311364095,NA,João✨❤👼🏽,NA,NA,NA,0,0
400016,1281206929478557696,2020-07-09T12:41:50Z,"De uma coisa estou certo (e decepcionado) nessa TV clubes no YouTube:

O clubismo reina e nada mais importa. Isso é péssimo para o jornalismo.

Na Flu TV o narrador não cita o nome dos jogadores do Flamengo. Na Fla TV os repórteres só fazem perguntas light para o Jorge Jesus!",753996272693080064,"Rio de Janeiro, Brasil","Realengo, Rio de Janeiro",BR,"[[[-43.795449, -23.08302], [-43.795449, -22.739823], [-43.087707, -22.739823], [-43.087707, -23.08302]]]",NA,1,0
1711370,1331995929394753536,2020-11-26T16:19:11Z,@hidan_vs O MEC Flu n erra pae,1320777065893928963,NA,NA,NA,NA,NA,0,0
2464954,1359142414724833283,2021-02-09T14:09:37Z,@paracsite @ATEEZofficial Zero fever parte 1 https://t.co/5ur1YnLiJO,1264222572704661505,"Las Heras, Argentina",NA,AR,"[[[-68.926891, -32.874802], [-68.926891, -32.798877], [-68.747615, -32.798877], [-68.747615, -32.874802]]]",NA,0,0
2179188,1348976002312110081,2021-01-12T12:51:56Z,"@OnlyOneOfmember [#TRAD • 12.01.21]

""[#Nine] A neve caiu~ 🎵 Enquanto dormiamos~ 🎵
Tomem cuidado com o resfriado!!!! 🥰❣️",,NA,NA,NA,NA,NA,NA,NA
267722,1279108901221421057,2020-07-03T17:45:01Z,Que gripe me agarre,1145541494201303040,NA,NA,NA,NA,NA,1,0
736363,1291559460029313024,2020-08-07T02:19:05Z,esse é o tipo de cantada que eu faria pra ele tb ???,842829107549364224,NA,"ateez, golcha, verivery",NA,NA,NA,1,0
812974,1295119448848969728,2020-08-16T22:05:13Z,Alta gripe,793282544716419072,NA,Uruguay,NA,NA,NA,0,0
2142515,1347580972078931975,2021-01-08T16:28:35Z,"Os gols de bola parada correspondem a 46,2% do total de gols marcados (39) pelo Flu no Campeonato Brasileiro.",1143508775250386944,NA,RJ,NA,NA,NA,0,0
1726585,1332711834101673988,2020-11-28T15:43:56Z,As medidas ineficazes contra a gripe chinesa https://t.co/n1q2pkjuar via @YouTube,4354519877,NA,"Campinas, São Paulo",NA,NA,NA,0,0
2456860,1358842591593328642,2021-02-08T18:18:14Z,"Esse hahaha ai é você rindo da minha cara só pq eu to surtando pq você postou foto né? Você se acha o fodão né? 

Pois eu também acho, pode rir da minha cara o quanto quiser, te amo💜",1285033736082534400,NA,coração do Min Yoongi ,NA,NA,NA,0,0
914357,1299149665485586435,2020-08-28T00:59:51Z,"@The_Kiira LAKDKDKSKDKFKSKDK
Eu queria mudar pra algo mais delicado, mais fluído, mas não consigo",1270853595068600327,NA,Uma cidadezinha aí,NA,NA,NA,0,0
986876,1302438585342320640,2020-09-06T02:48:51Z,passo,2807386275,NA,방탄소년단,NA,NA,NA,0,0
1937279,1340528464559038464,2020-12-20T05:24:26Z,"Brasil todo dia sendo piada internacional,nosso recorde é 0 dias https://t.co/TW5SvjV5ww",1013139344151007232,NA,"São Paulo, Brasil",NA,NA,NA,0,0
1399744,1319286286654468101,2020-10-22T14:35:36Z,Vacina da gripe: farmácias incapazes de satisfazer procura em Portalegre https://t.co/ggDSgRAUCP,454395581,NA,NA,NA,NA,NA,0,0
208493,1277804322311540737,2020-06-30T03:21:05Z,"2020? sei la o que esperar de vc, nada mais me surpreende",717472373100920833,NA,"Indaiatuba, Brasil",NA,NA,NA,1,0
267641,1279106759341285376,2020-07-03T17:36:30Z,Vacinação contra a gripe tomada com sucesso e sem aglomeração ?,1219958646488096769,NA,NA,NA,NA,NA,1,0
