index,id,created_at,text,user,place,user_place,country,coordinates,undefined_col,undefined_col2,undefined_col3
1020538,1303728583517573125,2020-09-09T16:14:51Z,tou sozinho a jogar Nintendo Switch porque pego nem gripe,1137274921057472513,NA,brevemente nas lojas,NA,NA,NA,0,0
2350965,1354887794527789057,2021-01-28T20:23:17Z,"Não que seja o pior árbitro do universo, mas estamos disputando uma vaga na Libertadores contra dois times... paulista! Assim você me complica, @CBF_Futebol...",982718813086126080,NA,NA,NA,NA,NA,0,0
1279066,1313914832656179200,2020-10-07T18:51:22Z,"@bdl_strong Bom dia butekin, tá melhor da gripe??",1303502282991063040,NA,NA,NA,NA,NA,0,0
569250,1285065961524133889,2020-07-20T04:16:15Z,"@TheNeott @jairbolsonaro Madtruz, a minhs mãe fazia xarope para a tosse. E fazia saladas. Isto dá até e calçadas. Muito bom. Acho que foi munha criação de alimentos naturais, que me fez forte, para ter 7 filhos , sem nenhum problema, em para as crianças também.",939940602363416576,NA,NA,NA,NA,NA,1,0
690470,1289395568607760386,2020-08-01T03:00:34Z,odeio qnd pessoas q nunca foram no psicólogo dizem q estao com depressão so pq estao se sentindo tristes como se depressão fosse gripe https://t.co/Ke2SHAHhLi,1019753340404629506,NA,stars hollow,NA,NA,NA,1,0
88209,1274737952875327488,2020-06-21T16:16:26Z,eu to febril e com dor de cabeça https://t.co/m0nggEs1vY,1156420437758398466,NA,ela/dela,NA,NA,NA,1,0
1469977,1321953796562571265,2020-10-29T23:15:20Z,"Ao lado de Angèle, Dua Lipa lançou o single “Fever” 🔥
Confira: https://t.co/l8Vy3nVcem https://t.co/vAPP5MKuNt",1054548069960871938,NA,NA,NA,NA,NA,0,0
1344888,1316809120746528780,2020-10-15T18:32:14Z,"@thayssavilar__ @malu_dos_crr resenha mané enha rapa, vejo essa palavra e me dá até tosse e falta de ar kkkkkkkkkkkkkk",1314715880576745474,NA,"Cabo Frio, Brasil",NA,NA,NA,0,0
2084271,1346480751567466502,2021-01-05T15:36:42Z,"Queridos amigos e familiares  , se conhecerem alguém que está sem convênio e tiver com algum sintoma da COVID-19 (tosse, febre, falta de ar, dor de garganta), orientem para entrar na plataforma do Missão Covid https://t.co/b37QNYOOoH",1296838767173672960,NA,NA,NA,NA,NA,0,0
1737100,1333245872268783618,2020-11-30T03:06:01Z,Dia de flu 😁🙃,1005820535689883648,NA,"Rio de Janeiro, Brasil",NA,NA,NA,0,0
2024511,1344053194842918915,2020-12-29T22:50:27Z,"@jhonyffc aí a gente perde a vaga na loja do flu, espera um de nós dois ficarmos ricos mn",1059565919909920773,NA,Niterói,NA,NA,NA,0,0
1267168,1313310250842427398,2020-10-06T02:48:58Z,pra quem não sabe eu moro nesse vídeo do darren cantando cough syrup ao vivo https://t.co/WuKIjDl5Cu,1265086585789468672,NA,she/her,NA,NA,NA,0,0
205009,1277792424098705408,2020-06-30T02:33:48Z,Né possível,923856975762477056,NA,Jaca citty ?Larissa ?,NA,NA,NA,1,0
2171084,1348659664490262529,2021-01-11T15:54:55Z,o uber tossindo e eu e minha mae olhando uma pra outra em pânico mt bom,3043407334,NA,udia • ☭,NA,NA,NA,0,0
1414551,1319886600097140736,2020-10-24T06:21:02Z,Nem preciso explicar o  retrocesso que nos tornamos.,75380145,NA,Isac Mota,NA,NA,NA,0,0
2282988,1352079414591418370,2021-01-21T02:23:47Z,"@FKeller_ O do flu tá ali pertinho tb, mas o pé de chumbo é horrível",15964102,NA,"Rio de Janeiro, Brasil",NA,NA,NA,0,0
149455,1277459276433256448,2020-06-29T04:30:00Z,"VACINAÇÃO CONTRA A GRIPE PRORROGADA ATÉ 30/06 | A Secretaria Municipal de Saúde está com pontos extras e novas estratégias de vacinação para alcançar, principalmente, os grupos que aderiram pouco à campanha. Saiba mais: https://t.co/HNzxOml16a https://t.co/DigRGoyNrp",226409689,NA,"Cidade Nova, RJ",NA,NA,NA,1,0
479586,1282712337825366019,2020-07-13T16:23:47Z,"Plena segunda e eu cheia de febre, q saco",1166690667290120193,NA,NA,NA,NA,NA,1,0
2044057,1344843006571065344,2021-01-01T03:08:53Z,Que os bons fluídos comecem agora! Feliz 2021!🍃🍃,1295962101853368320,NA,"Rio de Janeiro, Brasil",NA,NA,NA,0,0
1912195,1339668360880111616,2020-12-17T20:26:41Z,"@cristianomtd @CNNBrasil kkkk, ué direito meu, não confio nessa vacina entende?? qualquer ser humano pode pegar mesmo, eu msmo peguei em março, e passei de boa, foi um gripe só bem forte.",68182352,NA,"São Paulo, Brasil",NA,NA,NA,0,0
80329,1274371045760401408,2020-06-20T15:58:28Z,"@STpontocom Flu x Universidade do Chile 
Sulamericana de 2009 
Um vascaíno e uma flamenguista foram ao maraca cmg e choraram,comemoraram e saíram de lá cantando",1153710901578649600,NA,NA,NA,NA,NA,1,0
1119746,1307344287357493249,2020-09-19T15:42:22Z,@nptunuzzz Sama tos ✊,1301889176292306946,NA,Ada ,NA,NA,NA,0,0
343780,1280914856816840705,2020-07-08T17:21:14Z,"@carolpsfla Concordo plenamente...Tem que respeitar o direito do FLU.
Se o FLA tivesse ganho o sorteio, o Fluminense não faria o mesmo.",831884285070209024,NA,"São Luís, Brasil",NA,NA,NA,1,0
2090470,1346630297824190467,2021-01-06T01:30:56Z,@rquiroga777 Onda Google Flu? Interesante,79850743,NA,"San Luis, Argentina",NA,NA,NA,0,0
2205302,1349608710834950144,2021-01-14T06:46:05Z,"Apaga tenho depressão, ansiedade, pânico, pressão alta, pressão baixa, dengue, zika, chicungunha, peste negra, poliomielite, paralisia infantil, osteoporose, gripe suína, febre amarela, meningite, gonorreia, herpes, faringite, doença de chagas, bronquite, leptospirose, cancro +",1226563094744305670,NA,"Poções, Bahia",NA,NA,NA,0,0
643859,1287909130607484929,2020-07-28T00:33:59Z,"— disse o transfóbico 

alias, tem espaço depois de travessão, que é o sinal utilizado pra indicação de fala, caso você não saiba",1244352831009763328,NA,18yo • infp ,NA,NA,NA,1,0
408487,1281303689471262720,2020-07-09T19:06:19Z,"@FSRadioBrasil Chega um certo momento na vida que temos que reconhecer que não dá mais.

Comentário totalmente desequilibrado, que só prova que ele não viu o jogo.

O jogo foi horroroso. Flu entrou fechado, fez um gol, se fechou ainda mais e gastou uns 15 minutos no chão. Só...",4692023077,NA,NA,NA,NA,NA,1,0
1049315,1304182914905767936,2020-09-10T22:20:12Z,"quão saudável vc é? 
bronquite ❌
asma ✅
anemia ❌
rinite ✅
sinusite ✅
intolerância à lactose ❌
problema de visão ✅
alergia a poeira ✅
alergia a alimentos ❌
alergias de pele ❌
dor nos joelhos ✅
dor nas costas ✅ 
dor no coração ❌
pressão baixa ✅✅✅
gastrite ❌",1292276052908216320,NA,"Espírito Santo, Brasil",NA,NA,NA,0,0
943850,1300555991839371264,2020-08-31T22:08:06Z,Sep  1 MAC=fa:16:3e:63:e3:50:7a:e0:55:99:97:57:08:00 DST=51.75.120.50 LEN=32 TOS=0x08 PREC=0x00 TTL=4 ID=1 DF PROTO=ICMP TYPE=8 CODE=0 ID=1344 SEQ=1,1225211775374831616,NA,NA,NA,NA,NA,0,0
928010,1299843547848478722,2020-08-29T22:57:06Z,@gabrielamaralll Perdemos a chance de matar o jogo ainda no 1° tempo com esse vicio de jogar tudo ali na esquerda. Parece q nao existe o lado direito no Flu. Desde ano passado é isso.,153610820,NA,Brasil,NA,NA,NA,0,0
1359803,1317573678587064321,2020-10-17T21:10:18Z,"Em geral as pessoas só procuram DEUS quando a necessidade aperta
e a dor do sofrimento torna-se insuportável...",2595987294,NA,"Mangueira💚❤, Rio de Janeiro💙",NA,NA,NA,0,0
"que língua é essa""",798331113580232704,NA,"“You want to hear something ridiculous? Whenever I’m scared out of my wits, I tell myself: My name is Sam Cortland… and I will not be afraid.""",None,NA,NA,0,0,NA,NA,NA
759213,1292734965415845888,2020-08-10T08:10:08Z,Fodão esse https://t.co/M8FOTUZQ6K,1286914114514755584,NA,NA,NA,NA,NA,0,0
1706112,1331755923774246915,2020-11-26T00:25:29Z,Miguel me passou um resfriado que misturou com a sinusite parece que minha cabeça vai explodir,941827297635692544,NA,"Bangu, Rio de Janeiro🌴",NA,NA,NA,0,0
1215258,1310744104045817860,2020-09-29T00:52:01Z,"Flu sempre tem sorte com terceiro uniforme. Metendo 4 a 0 na estréia desse. Não faz sentido, mas a superstição do torcedor tem que ser levada a sério.",73183068,NA,"Boa Vista, Roraima - Brasil",NA,NA,NA,0,0
1539852,1324654982168268800,2020-11-06T10:08:53Z,"@exfamoso se gostou, ouça outros dois álbuns dela: light years e fever. eles tbm tem uma pegada dançante mas algo mais anos 2000 (embora tb com influência disco)",124554736,NA,NA,NA,NA,NA,0,0
1758909,1334154747931201538,2020-12-02T15:17:33Z,"Minha mãe: tô com gripe
Pedreiro: uia que maravilha, graças a Deus! 
KAKAKAKAKAKAKAKA",911038032714829825,NA,NA,NA,NA,NA,0,0
1356273,1317381829633200128,2020-10-17T08:27:58Z,"Acordar às 4:20 com uma tosse de cachorro é fogo 🤦🏾‍♀️
#SabadoDetremuraSDV",4295752455,NA,"Maceió, Brasil",NA,NA,NA,0,0
1424365,1320379537495117825,2020-10-25T14:59:47Z,@VitorioEvandro @jairbolsonaro É até óbvio isso. Mas todos os indícios apontam que o vírus foi mesmo fabricado. Uma bomba biológica. E nós provavelmente não precisaremos de vacina. A evolução e a cura dos infectados superam 95 por cento. E a taxa de letalidade já está igual a de uma gripe comum.,1525305648,NA,NA,NA,NA,NA,0,0
1506567,1323360424327319553,2020-11-02T20:24:46Z,"@ostermanlies @OdiadoSemMotivo @OGatoGalactico Que povo chato kkk se usa criativo fala né, quer pagar de fodão no Mine",1303862759365410816,NA,HOGWARTS-CHB ,NA,NA,NA,0,0
2251703,1351197868753903617,2021-01-18T16:00:50Z,"@Ana55975223 @taoquei1 Que incrível! Significa que as medidas preventivas nos protegem da influenza, mas não do covid. Vírus muito esperto esse!",877346176638603266,NA,NA,NA,NA,NA,0,0
2325554,1353839772310106114,2021-01-25T22:58:49Z,Se o Flu ganhar a cdb o Mário vai colocar o Guilherme pra treinar o profissional,1205968696834953218,NA,Aonde o Fluminense jogar 🇧🇬,NA,NA,NA,0,0
810852,1295069629090594820,2020-08-16T18:47:15Z,lucas claro e nino,55979217,NA,RJ,NA,NA,NA,0,0
1011486,1303471947909603330,2020-09-08T23:15:04Z,melhoras 🥰🥰🥰🥰,1286157774137720832,NA,📍rio de janeiro,NA,NA,NA,0,0
1480806,1322303141010952193,2020-10-30T22:23:30Z,Meu aniversário ta chegando em kkkkkk,964505704697561088,NA,Brasil,NA,NA,NA,0,0
320393,1280562036850778113,2020-07-07T17:59:15Z,Os esquerdistas piram,1210972145662095360,NA,NA,NA,NA,NA,1,0
2128870,1347257321643257859,2021-01-07T19:02:30Z,"@raphasconceicao Cara eu e muito mau caráter mesmo papo reto, tu está me julgando pela internet, nunca me viu na ida e sai julgado os outros. Mas você e o Fodão descontruido.",3090477753,NA,"Magalhães Bastos, Rio de Janei",NA,NA,NA,0,0
992298,1302706977634758656,2020-09-06T20:35:21Z,"@batistagabriel_ @goleada_info Incrível... São Paulo incorporou os adversários, chutou 3 vezes no gol e marcou 2 vzs. Por mim já pode fechar contrato vitalício com o Diniz...😂😂

Flu voltou muito abaixo e dando muito espaço na defesa tbm, não sei se tem relação com as trocas pq não conheço os bonecos deles.",3013110555,NA,"Brasília, Brasil",NA,NA,NA,0,0
633117,1287424483423330304,2020-07-26T16:28:10Z,@lovzletter @challen__ Acho o auge que ele se faz de fodão mas nem coragem pra mostrar quem ele é ele tem,1277759724847607808,NA,Jo Yuri.?,NA,NA,NA,1,0
476009,1282603560052629504,2020-07-13T09:11:32Z,EU VOU TIRAR DINHEIRO DS ONDE????????.,1708483598,NA, ?rmy?link  gio ❥︎ 条! mps s³,NA,NA,NA,1,0
1268886,1313463124419375116,2020-10-06T12:56:26Z,"@OProprioCapKirk @almeidacigor @mahgrelin @mariiamaroca @lorenagiostri @oatila Gripe então! Se esses filho da puta acessassem o site: ""our world in data"" e vissem a seção death causes in Brazil""",talvez parassem com essa porra... mas ficam pensando em linguiça o dia todo,"aí não dá.""",1236036531388928001,NA,Rio de Janeiro,NA,NA,NA
1991864,1342886036209328128,2020-12-26T17:32:35Z,"@SamuraiCryptic @Carlinhosmaiaof Desculpa, mas quem parece ter dono é você, que ele fala ""compre cloroquina"" "" é só uma gripe"" e você como bom cachorrinho adestrado vai e fala ""sim, mito au au"" e curta muito bem sua praia espero que você não contamine alguém que você ama e ela morra por isso.",1164998496518320129,NA,전 정국 +  ศุภศิษฏ์ & คณาวุฒิ ,NA,NA,NA,0,0
733063,1291441097546379278,2020-08-06T18:28:46Z,"@o_antagonista Esse filme vai ser fodástico!
??? https://t.co/UAfjLyAXii",1145472041841319936,NA,NA,NA,NA,NA,1,0
1791366,1335679264688119812,2020-12-06T20:15:27Z,"fico sem chão em saber que ele tá doente,ele não aguenta nem uma gripe mais",1277043422000488448,NA,NA,NA,NA,NA,0,0
1779847,1335079138873532416,2020-12-05T04:30:45Z,Bom gnt é isso eu falo pelos cotovelos aqui às vezes não gostou fecha o olho passa reto,388834763,NA,NA,NA,NA,NA,0,0
1868776,1338338669816639490,2020-12-14T04:22:58Z,"COMO ME CONQUISTAR PELA BOCA 

Bolo: cenoura com chocolate
Sorvete: flocos, porém prefiro açaí
Chocolate: diamante negro, suflair, crocante e caribe
Suco: caju
Refri: coca-cola
Fruta: morango ou uva
Carne: -
Batata: frita, purê ou corada
Água: tanto faz 
Pizza: siciliana",3347968180,NA,O21 || ele segue,NA,NA,NA,0,0
476150,1282616378328064000,2020-07-13T10:02:29Z,"pqp ateez
PUTA QUE PARIU EU NÃO TENHO DINHEIRO ESSE MÊS CARALHO",869339618617040897,"Goiânia, Brasil","Osaka-shi Konohana, Osaka",BR,"[[[-49.444853, -16.831871], [-49.444853, -16.453694], [-49.077745, -16.453694], [-49.077745, -16.831871]]]",NA,1,0
1343931,1316768625160790022,2020-10-15T15:51:19Z,"O cara é tão bão que chegou antes do Savin na marcação do jogador do Flu. Sampaoli ensina pelo exemplo! Ê, #Galo!",8170142,"São Paulo, Brasil","Sao Paulo, Brazil",BR,"[[[-46.826039, -24.008814], [-46.826039, -23.356792], [-46.365052, -23.356792], [-46.365052, -24.008814]]]",NA,0,0
2492639,1359990365789560835,2021-02-11T22:19:05Z,"@Projota Esse cara foi uma grande decepção . Nunca achei ele um cantor que de fato representa o rap(agora menos ainda). Enfim Probosta precisa bater muita cabeça para Sabotagem , Emicida , Mano Brown entre outros compositores fod@.",975014541548576770,NA,NA,NA,NA,NA,0,0
565098,1284891285845835776,2020-07-19T16:42:09Z,"E aqui no Reino Unido perdemos de ter um primeiro ministro maravilhoso como @jeremycorbyn.
No lugar foi eleito o cabra mais safado que já vi na vida.
Tristeza viu",1197902676329222150,NA,"Gales, Reino Unido",NA,NA,NA,1,0
2203406,1349549306844471298,2021-01-14T02:50:02Z,"Flu só tomou golaço hoje em, até o grosso do Fagner meteu",277308123,NA,Brasil,NA,NA,NA,0,0
1853943,1337855266046545929,2020-12-12T20:22:06Z,"""PLACAS TECTÔNICAS DA GEOPOLÍTICA EM MOVIMENTO

Quem diria...  um vírus de gripe fez o trabalho que nem a Rússia conseguiu: transformar os EUA nos Estados Desunidos da América"". @AlessandroLoio2 https://t.co/njjilfDANM",892815967272804353,NA,Brasil,NA,NA,NA,0,0
2497165,1360151952231788549,2021-02-12T09:01:10Z,Hshshsh,1293711469729599488,NA,NA,NA,NA,NA,0,0
1762395,1334275251266588674,2020-12-02T23:16:24Z,"As pessoas acham q bicho n sente falta, meu tio vai embora e n vai levar a cachorra dele, peguei pra mim, ontem chorou a noite toda sentindo falta, hoje chego do trab ela tá com febre, eu n entendo isso eu nunca deixaria meus filhotes pra trás, onde quer que eu vá só vou com eles",557940960,NA,"Rio de Janeiro, Brasil",NA,NA,NA,0,0
2157712,1348100878339862528,2021-01-10T02:54:30Z,A cada 15 minutos é 5 segundos de shot de cavalinho 😑,1305211329574305793,NA,NA,NA,NA,NA,0,0
34457,1272589997028278284,2020-06-15T18:01:13Z,Meu sonho trabalhar na loja do flu,753774119058042880,NA,RJ,NA,NA,NA,1,0
1050170,1304212029847330817,2020-09-11T00:15:53Z,"@HeyAlviVerde Hj ficou claro, com o time leve, jogando e buscando o ataque, drible, triangulações, e tudo q tanto queremos ver, desse elenco com bons nomes, entrou BH e Ramires, realmente eles estão muito abaixo, e comprometem de mais a dinâmica e fluência ofensiva, além de lentidão no bote",55695658,NA,Brasil,NA,NA,NA,0,0
1982839,1342417835402911745,2020-12-25T10:32:07Z,"Crise de tosse
dor pelo corpo 
bolhas pelo corpo todo
dor de cabeça 
coriza intermitente
e nem por isso digo que foi o pior natal da minha vida
pois ainda estou vivo !",200154645,NA,Brasil,NA,NA,NA,0,0
2300770,1352804431709003777,2021-01-23T02:24:45Z,Fiz um one-shot onde o Joui fica com 0 de sanidade e se sacrifica para salvar o Arthur e o Kaiser de um monstro de emoções... só que eu fiz muito agnst. Posto ou meh?#OShippParanormal https://t.co/3XhVh4caW2,1137391925810610178,NA,FanAccount.♡,NA,NA,NA,0,0
2435991,1358068465765081091,2021-02-06T15:02:08Z,NAO TÔ NADA BEM,1313480438489526277,NA,"ateez⁸ , red velvet⁵ .",NA,NA,NA,0,0
1069113,1305169706127683584,2020-09-13T15:41:21Z,"@Nycole_mari @brunaobarreto Números suspeitos desde o início, independente disso, sempre morrem cerca de 500 mil pessoas por ano no mundo há muitos anos, da gripe Influenza (A/H1/H3/H1N1) principalmente idosos e portadores de doenças crônicas, e a vida seguiu. Grupo de risco morre por covid ou outra coisa.",49780424,NA,"Brazil, Sao Paulo",NA,NA,NA,0,0
1644400,1329129708643115009,2020-11-18T18:29:51Z,"A gripe me pegou em, vou engolir um alho pra ver se ajuda",1094644050433634309,NA,"Belo Horizonte, Brasil",NA,NA,NA,0,0
1661468,1329810334698381313,2020-11-20T15:34:25Z,"Veja bem, nino, michel araujo e mais um jogador do flu cm  covid, os caras estavam treinando ate ontem cm o elenco, qm vai falar agr q o elenco todo n ta cm covid?! Msm coisa no vasco, Talles magno jogo ontem e foi diagnosticado cm covid hj, palmeiras tem quase 20 cm covid, n da",1566326300,NA,Engenho Novo,NA,NA,NA,0,0
272354,1279247341929869312,2020-07-04T02:55:08Z,BOTAFOGO TV TRANSMITE BOTA X FLU? | GLOBO PROJETA FIM DO CARIOCA! GUERRA... https://t.co/fz6g4fy8e6 via @YouTube,722615802,NA,NA,NA,NA,NA,1,0
1854246,1337865269767790592,2020-12-12T21:01:51Z,"Nesse dia o garçom brindou saúde comigo, virou um shot e ainda me deixou pagar metade de tudo que eu consumi pois sou uma cliente fiel .",1222882033615196160,NA,Middle Earth,NA,NA,NA,0,0
2374340,1355867504044892164,2021-01-31T13:16:18Z,"Lembro quando fui no hospital passando mal e o médico fala ""isso pode ser síndrome de Raynaud olha a ponta dos dedos"" aí fui fazer um exame que ele passou morrendo de medo pra ser só uma queda de pressão, nunca fiquei tão nervosa 🤡🤡",1085293892461907969,NA,NA,NA,NA,NA,0,0
2064691,1345835266586644481,2021-01-03T20:51:46Z,"@HemusSir @TheLord96380621 @VEJA É bem provável que, um dia, todos nós, iremos contrair o vírus, como acontece com gripe. O negócio é fazer tratamento precoce. 
Isso aí. Abraço.",1141305238663630849,NA,NA,NA,NA,NA,0,0
679804,1288938897750339584,2020-07-30T20:45:55Z,@RedeGlobo @detremura Existe um episódio que é a gripe dos gatos.,1001827238105567232,NA,Gaspar/SC,NA,NA,NA,1,0
2303750,1353001329812267009,2021-01-23T15:27:09Z,Não consigo super Fever. Não sei se amo mais a música ou o clipe,1137637207,NA,031,NA,NA,NA,0,0
1820760,1336730864462520321,2020-12-09T17:54:08Z,"@biamalmeida3 Mas eu estou fisicamente, provavelmente é uma gripe... mas fico assustada",1214088345598357504,NA,"Rennes, France",NA,NA,NA,0,0
1091199,1306028304202334208,2020-09-16T00:33:07Z,De pai duraço entrando no site da umbro pra comprar a camisa do Flu,58288778,NA,NA,NA,NA,NA,0,0
2158932,1348178740304629763,2021-01-10T08:03:54Z,"Avisa o gado que é a vacina para a febre aftosa, quem sabe eles aceitam!",1348166331221291008,NA,NA,NA,NA,NA,0,0
577999,1285417092553023489,2020-07-21T03:31:31Z,"Achei q eu era paranoica pq meu surto tem embasamento mas olha o pq minha irma acha que ta com corona virus
""A rosana tava pintando e o cheiro da tinta me deixou com tosse e dor de cabeça"" QUE",996809359043842048,NA,"São Paulo, Brasil",NA,NA,NA,1,0
